"villID","cellID"
2,18846
10,14550
12,13645
16,11986
28,14547
32,11986
37,18156
40,14551
42,18156
45,14550
60,10173
66,14552
75,15338
83,18266
86,18155
87,15338
89,18828
94,18155
103,18155
105,18037
107,14728
122,15338
133,11986
140,14728
141,15338
144,18267
164,18268
165,14729
166,15338
173,11827
177,14551
187,14552
195,18039
209,18157
214,11986
217,14728
222,14547
227,11986
228,18156
232,14551
237,11827
262,18156
275,11827
277,17974
280,14728
290,14549
291,14551
298,11827
300,10173
305,14550
307,14550
331,11827
336,19608
338,10173
343,19160
355,15338
363,15168
376,11986
378,14552
381,11827
388,18587
389,14547
398,15338
407,14728
408,14553
413,15338
425,14550
429,11827
435,14728
448,11827
449,11827
454,14550
465,14552
484,14551
512,11827
516,14374
528,11827
534,11986
536,14550
548,14728
555,14551
556,14551
578,14552
579,11827
583,14552
586,11986
613,15076
618,15506
622,14551
623,18037
630,18156
658,19337
677,11986
684,11986
687,18039
724,14548
725,14552
728,11827
730,11665
799,18430
807,14728
821,14551
829,14727
834,14311
840,18155
842,11827
849,14728
854,14552
858,14551
874,18211
882,14547
883,11827
886,14551
890,11986
895,10173
906,15338
915,14552
919,11827
925,3888
930,11827
933,17917
934,11986
936,11669
939,18154
956,11827
964,14550
974,17969
982,14855
990,14548
993,14729
997,18297
1000,14548
1001,12600
1008,15168
1013,14551
1020,18038
1026,14551
1042,11827
1071,14549
1072,18286
1078,14374
1089,18157
1117,18156
1123,11514
1135,14727
1164,14547
1165,19260
1178,19429
1185,18284
1199,14552
1200,11827
1202,11986
1204,18156
1207,10174
1213,18394
1215,13440
1252,18037
1280,14728
1281,19326
1284,18155
1288,14551
1292,10173
1293,10022
1296,11827
1302,14547
1321,16945
1323,14551
1332,15338
1336,11986
1340,14728
1347,14552
1348,11986
1351,11986
1356,14551
1357,18156
1359,11986
1363,11986
1364,11827
1385,14551
1387,15338
1389,15506
1400,14729
1416,18156
1419,14728
1423,11986
1427,18156
1430,11986
1435,14551
1443,12309
1445,17915
1447,11669
1453,17916
