"Year","District","Pop","Total_exposures","Domestic","Wildlife"
"2011","Kilwa",189042.616451933,32,31,1
"2011","Lindi Rural",192411.298315164,9,3,6
"2011","Lindi Urban",78137.7601585729,4,4,0
"2011","Liwale",90564.9157581764,15,10,5
"2011","Masasi",245052.371541502,15,11,4
"2011","Mtwara Rural",225299.407114625,14,8,6
"2011","Mtwara Urban",107014.822134387,0,0,0
"2011","Nachingwea",176872.150644202,46,21,25
"2011","Nanyumbu",149068.181818182,19,8,11
"2011","Newala",203055.335968379,25,18,7
"2011","Ruangwa",129910.802775025,16,10,6
"2011","Tandahimba",224816.205533597,12,1,11
"2012","Kilwa",190744,12,11,1
"2012","Lindi Rural",194143,15,14,1
"2012","Lindi Urban",78841,2,2,0
"2012","Liwale",91380,1,1,0
"2012","Masasi",247993,17,17,0
"2012","Mtwara Rural",228003,46,17,29
"2012","Mtwara Urban",108299,2,2,0
"2012","Nachingwea",178464,9,4,5
"2012","Nanyumbu",150857,6,3,3
"2012","Newala",205492,8,5,3
"2012","Ruangwa",131080,15,4,11
"2012","Tandahimba",227514,23,13,10
"2013","Kilwa",192460.696,7,6,1
"2013","Lindi Rural",195890.287,2,2,0
"2013","Lindi Urban",79550.569,0,0,0
"2013","Liwale",92202.42,5,4,1
"2013","Masasi",250968.916,5,1,4
"2013","Mtwara Rural",230739.036,21,1,20
"2013","Mtwara Urban",109598.588,4,2,2
"2013","Nachingwea",180070.176,7,1,6
"2013","Nanyumbu",152667.284,5,0,5
"2013","Newala",207957.904,1,0,1
"2013","Ruangwa",132259.72,1,1,0
"2013","Tandahimba",230244.168,10,5,5
"2014","Kilwa",194192.842264,2,2,0
"2014","Lindi Rural",197653.299583,3,3,0
"2014","Lindi Urban",80266.524121,1,1,0
"2014","Liwale",93032.24178,1,1,0
"2014","Masasi",253980.542992,8,1,7
"2014","Mtwara Rural",233507.904432,11,0,11
"2014","Mtwara Urban",110913.771056,3,3,0
"2014","Nachingwea",181690.807584,7,4,3
"2014","Nanyumbu",154499.291408,6,0,6
"2014","Newala",210453.398848,6,4,2
"2014","Ruangwa",133450.05748,5,3,2
"2014","Tandahimba",233007.098016,12,5,7
"2015","Kilwa",195940.577844376,6,6,0
"2015","Lindi Rural",199432.179279247,2,2,0
"2015","Lindi Urban",80988.922838089,2,2,0
"2015","Liwale",93869.53195602,5,5,0
"2015","Masasi",257028.309507904,0,0,0
"2015","Mtwara Rural",236309.999285184,5,2,3
"2015","Mtwara Urban",112244.736308672,0,0,0
"2015","Nachingwea",183326.024852256,1,0,1
"2015","Nanyumbu",156353.282904896,5,0,5
"2015","Newala",212978.839634176,4,4,0
"2015","Ruangwa",134651.10799732,4,3,1
"2015","Tandahimba",235803.183192192,3,1,2
"2016","Kilwa",197704.043044975,5,5,0
"2016","Lindi Rural",201227.06889276,5,5,0
"2016","Lindi Urban",81717.8231436318,0,0,0
"2016","Liwale",94714.3577436241,3,1,2
"2016","Masasi",260112.649221999,0,0,0
"2016","Mtwara Rural",239145.719276606,0,0,0
"2016","Mtwara Urban",113591.673144376,0,0,0
"2016","Nachingwea",184975.959075926,5,0,5
"2016","Nanyumbu",158229.522299755,6,1,5
"2016","Newala",215534.585709786,1,0,1
"2016","Ruangwa",135862.967969296,7,5,2
"2016","Tandahimba",238632.821390498,2,0,2
"2017","Kilwa",199483.37943238,3,3,0
"2017","Lindi Rural",203038.112512795,1,0,1
"2017","Lindi Urban",82453.2835519244,0,0,0
"2017","Liwale",95566.7869633167,1,0,1
"2017","Masasi",263234.001012663,0,0,0
"2017","Mtwara Rural",242015.467907926,1,1,0
"2017","Mtwara Urban",114954.773222109,0,0,0
"2017","Nachingwea",186640.74270761,0,0,0
"2017","Nanyumbu",160128.276567352,0,0,0
"2017","Newala",218121.000738304,2,0,2
"2017","Ruangwa",137085.734681019,1,1,0
"2017","Tandahimba",241496.415247184,6,5,1
"2018","Kilwa",201278.729847271,12,12,0
"2018","Lindi Rural",204865.45552541,0,0,0
"2018","Lindi Urban",83195.3631038918,0,0,0
"2018","Liwale",96426.8880459866,0,0,0
"2018","Masasi",266392.809024815,1,1,0
"2018","Mtwara Rural",244919.653522821,11,0,11
"2018","Mtwara Urban",116334.230500774,0,0,0
"2018","Nachingwea",188320.509391978,2,2,0
"2018","Nanyumbu",162049.81588616,1,0,1
"2018","Newala",220738.452747163,7,0,7
"2018","Ruangwa",138319.506293149,0,0,0
"2018","Tandahimba",244394.372230151,4,2,2
"2019","Kilwa",203090.238415897,32,32,0
"2019","Lindi Rural",206709.244625139,0,0,0
"2019","Lindi Urban",83944.1213718268,0,0,0
"2019","Liwale",97294.7300384004,0,0,0
"2019","Masasi",269589.522733113,2,2,0
"2019","Mtwara Rural",247858.689365094,0,0,0
"2019","Mtwara Urban",117730.241266783,0,0,0
"2019","Nachingwea",190015.393976506,0,0,0
"2019","Nanyumbu",163994.413676794,0,0,0
"2019","Newala",223387.314180129,0,0,0
"2019","Ruangwa",139564.381849787,1,1,0
"2019","Tandahimba",247327.104696912,2,1,1
