"month","species","n","y_value"
4,"Dog",1,-2
5,"Dog",1,-2
6,"Dog",2,-2
7,"Dog",1,-2
8,"Dog",3,-2
9,"Dog",2,-2
10,"Dog",3,-2
11,"Dog",1,-2
12,"Dog",1,-2
17,"Dog",1,-2
18,"Dog",1,-2
19,"Dog",2,-2
20,"Dog",1,-2
21,"Dog",1,-2
32,"Dog",1,-2
36,"Dog",1,-2
41,"Dog",1,-2
42,"Dog",1,-2
46,"Dog",1,-2
62,"Dog",1,-2
81,"Dog",1,-2
87,"Dog",1,-2
94,"Dog",1,-2
97,"Dog",2,-2
5,"Wildlife",2,-4
6,"Wildlife",1,-4
16,"Wildlife",1,-4
31,"Wildlife",1,-4
43,"Wildlife",2,-4
47,"Wildlife",1,-4
52,"Wildlife",1,-4
53,"Wildlife",1,-4
63,"Wildlife",1,-4
76,"Wildlife",1,-4
92,"Wildlife",1,-4
94,"Wildlife",2,-4
